clip_id	sec	frames	sample_tokens	text
LJ001-0137	4.709	59	497	But another point which they should attend to they almost always disregard;
LJ001-0139	5.255	66	559	a blemish which can be nearly, though not wholly, avoided by care and forethought
LJ001-0141	3.687	47	400	The general solidity of a page is much to be sought for
LJ001-0143	6.160	78	654	For where these are boldly and carefully designed, and each letter is thoroughly individual in form,
LJ001-0145	7.170	90	758	No definite rules, however, except the avoidance of "rivers" and excess of white, can be given for the spacing,
LJ001-0147	5.986	75	633	The position of the page on the paper should be considered if the book is to have a satisfactory look.
LJ001-0149	6.126	77	651	From the time when books first took their present shape till the end of the sixteenth century, or indeed later,
LJ001-0151	4.512	57	484	the unit of the book being looked on as the two pages forming an opening.
LJ001-0153	6.474	81	682	only nominally so, however, in many cases, since when he uses a headline he counts that in,
LJ001-0155	4.256	54	461	and that laterally the page looks as if it were being driven off the paper.
LJ001-0157	4.442	56	476	of this it may be said that though there is some good paper made now,
LJ001-0159	8.413	106	886	The paper that is used for ordinary books is exceedingly bad even in this country, but is beaten in the race for vileness
LJ001-0161	4.152	52	443	There seems to be no reason why ordinary paper should not be better made,
LJ001-0163	6.393	80	671	e.g. the cheap paper should not sacrifice toughness and durability to a smooth and white surface,
LJ001-0165	2.677	34	292	One fruitful source of badness in paper
LJ001-0167	5.046	64	540	a device which deceives nobody, and makes a book very unpleasant to read.
LJ001-0173	9.109	114	952	The essential point to be remembered is that the ornament, whatever it is, whether picture or pattern-work, should form part of the page,
LJ001-0175	4.198	53	449	Simple as this proposition is, it is necessary to be stated,
LJ001-0177	4.628	58	494	so that if the two are helpful to one another it is a mere matter of accident.
LJ001-0179	2.759	35	302	even when the woodcuts are very rude indeed,
LJ001-0181	4.616	58	493	When, as is most often the case, there is actual beauty in the cuts,
LJ001-0183	8.599	108	901	Therefore, granted well-designed type, due spacing of the lines and words, and proper position of the page on the paper,
LJ001-0185	3.095	39	333	printed books might once again illustrate to the full
LJ002-0001	8.181	103	860	The Chronicles of Newgate, Volume two. By Arthur Griffiths. Section four: Newgate down to eighteen eighteen.
LJ002-0005	2.933	37	317	The prison population fluctuated a great deal,
LJ002-0007	3.664	46	390	Neild gives some figures which well illustrate this.
LJ002-0009	3.119	39	336	On the twenty-seventh April, in the following year,
LJ002-0011	9.597	120	996	For two more years these high figures were steadily maintained, and in eighteen oh three the total rose to seven hundred ten.
LJ002-0015	6.033	76	639	three hundred debtors and nine hundred criminals in Newgate, or twelve hundred prisoners in all.
LJ002-0017	7.670	96	802	Trustworthy evidence is forthcoming to the effect that these high figures were constantly maintained for many months at a time.
LJ002-0019	3.444	44	376	who seldom let a session go by without visiting Newgate.
LJ002-0021	9.086	114	957	the grand jury made a special presentment to the Court of Common Council, pointing out that on the debtors' side, which was intended for only one hundred,
LJ002-0023	3.455	44	373	On the female side matters were much worse;
LJ002-0025	7.995	100	835	Returns laid before the House of Commons showed that six thousand, four hundred thirty-nine persons had been committed to Newgate
LJ002-0027	9.539	120	1003	and this number did not include the debtors, a numerous class, who were still committed to Newgate pending the completion of the White Cross Street prison.
LJ002-0029	3.606	46	390	as it was occupied and appropriated in eighteen ten.
LJ002-0033	7.554	95	793	two. The female debtors' side. three. The chapel yard. four. The middle yard.
LJ002-0035	1.598	20	178	eight. The press yard.
LJ002-0037	4.570	58	489	leading to thirteen wards on various floors, and a day room.
LJ002-0039	5.081	64	539	they each contained four small rooms or "cabins" seven feet square,
LJ002-0041	8.552	107	893	Two other wards were appropriated to the master's side debtors; they were each twenty-three feet by fourteen and a half,
LJ002-0043	7.693	97	807	long narrow rooms -- one thirty-six feet, six twenty-three feet, and the eighth eighteen,
LJ002-0045	3.409	43	367	The various wards were all about eleven feet in height,
LJ002-0047	5.348	67	568	The day room was fitted with benches and settles after the manner of the tap in a public-house.
LJ002-0049	5.150	65	547	leading to two wards, one of which was thirty-six feet by fifteen,
LJ002-0051	5.917	74	622	A high wall fifteen feet in height divided the females' court-yard from the men's.
LJ002-0053	4.698	59	500	It had been for some time devoted principally to felons of the worst types,
LJ002-0055	8.726	110	917	This arrangement was, however, modified after eighteen eleven, and the chapel yard was allotted to misdemeanants and prisoners awaiting trial.
LJ002-0057	5.127	65	549	These wards were all fitted with barrack-beds, but no bedding was supplied.
LJ002-0059	8.285	104	872	those who had turned king's evidence, whose safety might have been imperiled had they been lodged with the men against whom they had informed.
LJ002-0061	5.742	72	607	or they lodged with the gatesmen, the prisoner officers who had charge of the inner gates.
LJ002-0063	8.947	112	936	It was fifty feet by twenty-five, and had five wards each thirty-eight by fifteen. At one end of the yard was an arcade,
LJ002-0065	3.606	46	388	or female convicts ordered for execution.
LJ002-0067	7.763	98	816	but really kept for the few who had funds sufficient to gain them admission to these more comfortable quarters.
LJ002-0069	2.828	36	308	to the various wards their friends occupied.
LJ002-0071	7.194	90	754	It was large and comparatively commodious, being maintained on a better footing than any other part of the prison.
LJ002-0073	4.860	61	518	Neild takes it for granted that the former rather than the latter prevailed in the selection,
LJ002-0075	4.651	59	501	and who are therefore lodged apart from all other districts of the jail. End quote.
LJ002-0077	6.903	87	729	from twenty-one by eighteen feet to fifteen feet square, which were furnished with bedsteads and bedding.
LJ002-0079	9.191	115	960	Its name and its situation were the same as those of the old place of carrying out the terrible sentence inflicted on accused persons who stood mute.
LJ002-0081	5.232	66	558	and beyond it was now a day room for the capital convicts or those awaiting execution.
LJ002-0083	3.328	42	358	The ground floor cells were nine feet by six;
LJ002-0085	9.075	114	948	Security was provided for in these condemned cells by lining the substantial stone walls with planks studded with broad-headed nails;
LJ002-0087	6.056	76	638	a circular aperture had been let in to give ventilation and secure a free current of air.
LJ002-0089	6.416	81	681	eight. The female felons were deprived of part of the space which the architect had intended for them.
LJ002-0091	6.102	77	646	and what remained was divided into a master's and a common side for female felons.
LJ002-0093	4.790	60	510	There were nine wards in all on the female side, one of them in the attic,
LJ002-0095	9.458	119	989	and the rest being provided with barrack beds, and in dimensions varying from thirty feet by fifteen to fifteen feet by ten.
LJ002-0097	8.924	112	939	they had dust-bins, sewers, and so forth, "properly disposed," and the city scavenger paid periodical visits to the prison.
LJ002-0099	8.285	104	872	to which access was granted rarely and as a great favor. But they were allowed the luxury of drink -- if they could pay for it.
LJ002-0101	4.756	60	508	there was still a "convenient room" which served, and, quote,
LJ002-0103	7.960	100	837	The felons' side has a similar accommodation, and this mode of introducing the beverage is adopted because no publican as such
LJ002-0105	6.114	77	650	and beyond it was a room called the "wine room," because formerly used for the sale of wine, but
LJ002-0109	3.653	46	393	called the clerk of the papers, attends daily. End quote.
LJ002-0111	4.372	55	467	Of these the debtors, male and female, formed a large proportion.
LJ002-0113	6.265	79	665	in an age when insolvent acts and bankruptcy courts do so much to relieve the impecunious,
LJ002-0116	4.233	53	447	The number of processes against debtors annually was extraordinary.
LJ002-0118	4.860	61	515	a table showing the figures for the year ending Michaelmas eighteen oh two.
LJ002-0120	8.657	109	911	had been issued for the arrests of debtors in the kingdom, for sums varying from fourpence to five hundred pounds and upwards.
LJ002-0122	9.051	114	950	The number of arrests actually made was one hundred fourteen thousand, three hundred for the kingdom, and seven thousand twenty for Middlesex.
LJ002-0124	5.359	67	564	Quite half of the foregoing writs and arrests applied to sums under thirty pounds.
LJ002-0126	8.239	103	860	five thousand, seven hundred nineteen writs and executions for debts between ten pounds and twenty pounds were issued in Middlesex,
LJ002-0128	6.091	77	643	He also makes the curious calculation that the costs of these actions if undefended
LJ002-0130	7.658	96	803	two hundred eighty-five thousand, nine hundred fifty pounds; in other words, that to recover eighty odd thousand pounds,
LJ002-0132	9.237	116	966	An elaborate machinery planned for the protection of the trader, and altogether on his side, had long existed for the recovery of debts.
LJ002-0134	6.253	79	667	The County Court was the sheriff's, who sat there surrounded by the bishop and the magnates of the county;
LJ002-0136	2.863	36	309	and the disuse of the inferior courts.
LJ002-0138	8.169	103	861	and four common councilmen to hold Courts of Requests, or Courts of Conscience, to hear and determine all causes of debt
LJ002-0140	8.691	109	908	These courts were extended two centuries later to several large provincial towns, and all were in full activity when Neild wrote,
LJ002-0142	3.595	45	382	These courts were open to many and grave objections.
LJ002-0144	9.330	117	972	and when once appointed continued to serve sine die; they were generally near in rank to the parties whose causes they decided.
LJ002-0146	6.764	85	713	The activity as well as the futility of these courts may be estimated from the statement given by Neild
LJ002-0148	5.859	74	619	and that no more than one hundred ninety-seven creditors recovered debts and costs.
LJ002-0150	3.838	48	410	Costs were the gallons of sack to the pennyworth of debt.
LJ002-0152	8.366	105	877	fourteen men and women who had lain there ten, eleven, and thirteen years for debts of a few shillings,
LJ002-0154	9.005	113	941	Thus, amongst others, Thomas Blackburn had been committed on October fifteenth for a debt of one shilling five pence.
LJ002-0156	9.016	113	946	Thomas Dobson, on twenty-second August, seventeen ninety-nine, for one shilling, with costs of eight shillings, ten pence.
LJ002-0158	9.307	117	980	Other cases are recorded elsewhere, as at the Giltspur Street Compter, where in eighteen oh five Mr. Neild found a man named William Grant
LJ002-0160	7.089	89	750	and John Lancaster for one shilling, eight pence, with costs of seven shillings, six pence. Quote.
LJ002-0162	5.510	69	580	He recites another most outrageous and extraordinary case, in which one John Bird,
LJ002-0164	5.626	71	602	for the paltry sum of four pence, with costs of seven shillings, six pence.
LJ002-0166	4.280	54	462	Mr. Buxton, in his "Inquiry into the System of Prison Discipline,"
LJ002-0168	9.481	119	998	The lad in question was found in Coldbath Fields prison, to which he had been sent for a month in default of paying a fine of forty shillings.
LJ002-0170	8.749	110	918	There was in the City Road a temporary bar, with a collector of tolls who was sometimes on the spot and sometimes not.
LJ002-0172	5.220	66	555	For this he was summoned before a magistrate, and sentenced as already stated.
LJ002-0174	5.116	64	546	Mr. Buxton's friends at once paid the forty shillings, and the boy was released.
LJ002-0176	7.414	93	779	Neild gives a list of the various items charged upon a debt of ten pounds, which included instructions to sue,
LJ002-0178	5.023	63	534	affidavit of service, and many more, amounting in all to twenty-seven,
LJ002-0180	4.361	55	467	Before dealing with the debtors in Newgate, I may refer incidentally
LJ002-0182	4.396	55	466	the Fleet, and the Marshalsea prisons especially devoted to them,
LJ002-0184	5.731	72	607	the latter two being also a prison for felons and vagrants arrested within certain limits.
LJ002-0186	8.401	106	880	The population generally amounted to from five hundred to seven hundred, the accommodation being calculated for two hundred.
LJ002-0188	7.855	99	833	being often obliged to pay a high rent for a bed at the coffee-house or in some room which was vacated by its regular occupant.
LJ002-0190	9.075	114	950	The best, or at least the most influential prisoners, got lodging in the State House, which contained "eight large handsome rooms."
LJ002-0192	8.169	103	862	another two hundred more or less took advantage of "the rules," and lived outside within a circumference of two miles and a half.
LJ002-0194	7.263	91	763	and a heavy fee at the rate of eight pounds per one hundred pounds, with four pounds for every additional hundred.
LJ002-0198	2.515	32	277	The office of marshal had been hereditary,
LJ002-0200	4.756	60	507	The marshal was supposed to be resident either within the prison or the rules.
LJ002-0202	3.931	50	424	The prison was always in "the most filthy state imaginable."
LJ002-0204	4.338	55	468	When they were sick no more notice was taken of them than of a dog.
LJ002-0206	7.124	90	749	Dissolute habits prevailed on all sides; drunkenness was universal, gambling perpetual.
LJ002-0208	2.225	28	242	into holes marked with numbers.
LJ002-0210	8.366	105	880	the keeper of the large tap-room called the Brace, because it was once kept by two brothers named Partridge, also paid him toll.
LJ002-0212	4.779	60	508	Mexico, and was consumed at the rate of a hogshead per week.
LJ002-0214	7.983	100	840	was a prison for debtors and persons committed for contempt by the courts of Chancery, Exchequer, and Common Pleas.
LJ002-0216	2.875	36	309	The shameful malpractices of Bambridge,
LJ002-0218	9.028	113	945	A committee of the House of Commons investigated the charges against Bambridge, who was proved to have connived at the escape of some debtors,
LJ002-0220	8.088	102	854	In consequence of these disclosures, both Bambridge and Huggin, his predecessor in the office, were committed to Newgate,
LJ002-0222	7.855	99	827	It contained generally from six to seven hundred inmates, while another hundred more or less resided in the rules outside.
LJ002-0224	8.018	101	847	but a number of rooms, fifteen more or less, were reserved for poor debtors under the name of Bartholomew Fair.
LJ002-0226	6.068	76	636	The same evils of overcrowding, uncleanliness, want of medical attendance,
LJ002-0228	6.207	78	658	The Committee on Jails reported that, quote, although the house of the warden looked into the court,
LJ002-0230	8.807	111	926	The state of morals was disgraceful. Any woman obtained admission if sober, and if she got drunk she was not turned out.
LJ002-0232	5.475	69	580	Disturbances were frequent, owing to the riotous conduct of intoxicated women.
LJ002-0234	1.807	23	202	In the yard behind the prison
LJ002-0236	2.794	35	303	Matters were rather better at the Marshalsea.
LJ002-0238	5.800	73	616	was used for debtors arrested for the lowest sums within twelve miles of the palace of Whitehall;
LJ002-0240	7.983	100	837	At one time the Marshalsea was the receptacle of pirates, but none were committed to it after seventeen eighty-nine.
LJ002-0242	6.277	79	666	to be held before the steward of the royal household, the knight marshal, and the steward of the court,
LJ002-0244	5.394	68	572	but its business was much reduced by the extension of the Courts of Conscience.
LJ002-0246	5.359	67	565	and came under the strong animadversion of the Jail Committee of seventeen twenty-nine.
LJ002-0248	5.882	74	620	The population, as reported by the committee in eighteen fourteen, averaged about sixty,
LJ002-0250	2.759	35	301	Their conduct too was orderly on the whole.
LJ002-0252	4.523	57	482	The inmates, who euphemistically styled themselves "collegians,"
LJ002-0254	4.233	53	449	and fines imposed for conduct disapproved of by the "college."
LJ002-0256	8.993	113	942	A committee of collegians was elected to act as the executive, also a secretary or accountant to receive monies and keep books,
LJ002-0258	8.169	103	861	Bad language, quarreling, throwing water over one another was forbidden on pain of fine and being sent to Coventry;
LJ002-0260	4.965	63	531	Yet the public opinion of the whole body seems to have checked dissipation.
LJ002-0262	6.973	88	735	owing to many charitable gifts and bequests, which included annual donations from the Archbishop of Canterbury,
LJ002-0264	7.043	89	747	Legacies had also been left to free a certain number of debtors, notably that of one hundred pounds per annum
LJ002-0266	6.857	86	725	His bequest, which was charged upon his manor at Goring, Oxon, and hence called the Oxford Charity,
LJ002-0268	9.133	115	963	The supreme control of the Marshalsea was vested in the marshal of the royal household; but although he drew a salary of five hundred pounds a year,
LJ002-0270	8.715	109	914	The latter's salary, with fees, the rent of the tap and of the chandler's shop, amounted to about six hundred pounds a year.
LJ002-0272	4.431	56	474	on the opening of Whitecross prison for debtors in eighteen fifteen.
LJ002-0274	6.416	81	678	clergymen, proctors, attorneys, and persons specially selected by the Corporation.
LJ002-0276	7.844	99	829	went outside and beyond the prison to call on their creditors, and try to arrange their debts, but this practice was discontinued.
LJ002-0278	6.613	83	697	while the funds of several bequests and charities were applied in adding to the material comfort of the prisoners.
LJ002-0282	4.593	58	491	Those who could not pay were thrown into the wards with the night charges,
LJ002-0284	8.355	105	881	The Borough Compter was in a disgraceful state to the last. The men's ward had an earth, or rather a mud, floor,
LJ002-0286	5.371	68	574	The rooms had no fireplaces, so it mattered little that no coals were allowed.
LJ002-0288	6.567	83	696	In one room Mr. Neild found a woman ill of a flux shut up with three men;
LJ002-0290	5.510	69	582	Neild found the prisoners in the Borough Compter ragged, starving, and dirty.
LJ002-0294	7.972	100	840	a further fee was, however, demanded from the new-comer before he was made free of either the master's or the cabin side.
LJ002-0296	9.016	113	948	Garnish on the cabin side was a guinea at entrance for coals, candles, brooms, etc., and a gallon of beer on discharge;
LJ002-0298	3.955	50	424	in his evidence in eighteen fourteen, said it was more,
LJ002-0300	5.533	70	591	Numerous tyrannies were practiced on all who would not and could not pay the garnish.
LJ002-0302	4.616	58	490	and so were unable either to warm themselves or to cook their food.
LJ002-0306	6.137	77	650	looked forward to his liberty, he was still delayed until he had paid a new debt arising, quote,
LJ002-0308	9.388	118	984	nor was non-payment made a pretext for further imprisonment, thanks to the humanity of the jailer, or the funds provided by various charities.
LJ002-0310	6.602	83	698	that debtors who could afford the cabin and master's side were not permitted to share in the prison charities.
LJ002-0312	9.040	113	945	and a calculation made as to the amount that might be expended per week from the whole sum, so that the latter might last out the year.
LJ002-0314	7.124	90	757	was after eighteen oh seven, through the exertions of the keeper of the jail, spent in the purchase of necessaries.
LJ002-0316	7.182	90	755	notably as when numbers filled Newgate in anticipation of Lord Redesdale's bill for insolvent debtors,
LJ002-0318	9.214	116	969	The city also allowed the poor debtors fourteen ounces of bread daily, and their share of eight stone of meat, an allowance which never varied,
LJ002-0320	6.532	82	688	The bread was issued every alternate day; and while some prisoners often ate their whole allowance at once,
LJ002-0322	9.539	120	1007	Share in the weekly allowance of meat might also be denied to debtors who had not paid "garnish," as well as in the weekly grant from the charitable fund.
LJ002-0324	6.056	76	641	or the keeper made them a special grant of six pence per diem out of the common stock;
LJ002-0326	7.078	89	747	The poor debtors were not supplied with beds. Those who could pay the price might hire them from each other,
LJ002-0330	6.509	82	689	female visitors carried them out of the prisons, or the debtors destroyed them when the weather was warm,
LJ002-0332	4.454	56	469	Sometimes rugs were urgently required and not forthcoming;
LJ002-0334	7.890	99	829	Again, there was no regular allowance of fuel. Coals were purchased out of the garnish money and the charitable fund;
LJ002-0336	5.812	73	615	indeed the place, with its oak floors caulked with pitch, and smoked ceilings,
LJ002-0338	7.751	97	810	Only now and again, in extreme cases, an unusually nasty companion was stripped, haled to the pump,
LJ003-0002	6.636	83	696	The squalor and uncleanness of the debtors' side was intensified by constant overcrowding.
LJ003-0004	2.271	29	253	No remonstrance was attended to,
LJ003-0006	6.358	80	673	Besides this, although the families of debtors were no longer permitted to live with them inside the jail,
LJ003-0010	4.918	62	522	wine and beer might be had in any quantity, the only limitation being
LJ003-0012	5.208	66	560	and debtors might practically have as much as they liked, if they could only pay for it.
LJ003-0014	6.776	85	715	Quarreling among the debtors was not unfrequent. Blows were struck, and fights often ensued.
LJ003-0016	9.040	113	945	Bad cases were removed to a cell on the felons' side, and here they were locked in solitary confinement for three days at a time.
LJ003-0018	7.519	94	784	and discipline maintained by a system open to grave abuses, and which had the prescription of long usage,
LJ003-0020	7.136	90	756	This was the pernicious plan of governing by prisoners, or of setting a favored few in authority over the many.
LJ003-0022	2.585	33	282	This steward was practically supreme.
LJ003-0024	5.568	70	590	he collected the garnish money, and distributed the weekly grant from the prison charitable fund.
LJ003-0026	9.376	118	987	The auditors were paid a shilling each for their services each time the poor-box was opened. The steward was also remunerated for his trouble.
LJ003-0028	3.235	41	350	and no doubt made the meat also pay toll.
LJ003-0030	5.510	69	579	These subordinate chiefs were also rewarded out of the scanty prison rations.
LJ003-0032	6.416	81	683	So valuable were they deemed, that as much as fifty guineas was offered to the keeper for the post.
LJ003-0034	3.792	48	407	This gradually was forced upon the consciousness of the Corporation,
LJ003-0036	6.520	82	688	Authority was given to raise money on the Orphans' Fund to the extent of ninety thousand pounds.
LJ003-0038	5.174	65	550	which would accommodate the inmates of Newgate and of the three compters, Ludgate,
LJ003-0040	9.144	115	960	The evils of association for these debtors were perpetuated, although the plan provided for the separation of the various contingents committed to it.
LJ003-0042	5.789	73	614	The completion of this very necessary building was, however, much delayed for want of funds,
LJ003-0044	3.200	40	342	The reforms which were to be attempted in that prison
LJ003-0046	7.031	88	740	could not be carried out till then. It is to be feared that long after the opening of White Cross Street prison,
LJ003-0048	8.401	106	884	I pass now to the criminal side of Newgate, which consisted of the six quarters or yards already enumerated and described.
LJ003-0050	2.457	31	266	(one) those awaiting trial;
LJ003-0052	9.063	114	949	(three) transports awaiting removal to the colonies, and (four) capital convicts, condemned to death and awaiting execution.
LJ003-0054	8.935	112	938	An imperfect attempt at classification was, however, made in eighteen twelve, and a yard was as far as possible set apart for the untried,
LJ003-0056	8.889	112	933	This was the chapel yard, with its five wards, which were calculated to hold seventy prisoners, but often held many more.
LJ003-0058	3.676	46	392	but all mingled freely during the day in the yard.
LJ003-0060	8.413	106	884	which was a wooden flooring on a slightly inclined plane, with a beam running across the top to serve as a pillow.
LJ003-0062	8.088	102	854	When each sleeper had the full lateral space allotted to him, it amounted to one foot and a half on the barrack bed;
LJ003-0064	5.812	73	614	the sleepers covered the entire floor, with the exception of a passage in the middle.
LJ003-0066	5.383	68	574	As many various and, according to our ideas, heinous crimes came under this head,
LJ003-0068	9.249	116	966	the man guilty of a common assault found himself side by side with the fraudulent, or others who had attempted abominable crimes.
LJ003-0070	6.369	80	671	was frequently adjudged for so-called libels, or too out-spoken comments in print.
LJ003-0072	9.620	121	1006	that some other and less mixed prison should be used for the confinement of persons convicted of libels. But this suggestion was ignored.
LJ003-0074	9.353	117	979	The Hon. H. G. Bennet, who visited Newgate in eighteen seventeen, saw in one yard, in a total of seventy-two prisoners,
LJ003-0076	9.504	119	989	four for fourteen years, and three of them persons sentenced to fines or short imprisonment -- one for little more than a month.
LJ003-0078	7.809	98	818	Nor were the misdemeanants and bail prisoners any longer separated from those whose crimes were of a more serious character.
LJ003-0080	6.892	87	725	two committed by the Bankruptcy Commissioner, one for perjury, and two transports.
LJ003-0084	7.646	96	804	Quote, a common-sized man, says the keeper, Mr. Newman, can turn in nineteen inches, end quote.
LJ003-0086	4.071	51	433	The crowding was in consequence of the delay in removing transports.
LJ003-0090	6.787	85	715	Mr. Newman admitted that he had petitioned that certain "trusty men" might be left in the jail.
LJ003-0092	6.277	79	661	There were frequently in the middle yard seven or eight children, the youngest barely nine,
LJ003-0094	8.529	107	896	Mr. Bennet mentions also the case of young men of better stamp, clerks in city offices, and youths of good parentage,
LJ003-0096	8.355	105	879	Quote, yet they had been long enough, he goes on to say, in the prison associated with the lowest and vilest criminals,
LJ003-0098	5.766	73	611	the inevitable consequence of such a situation, their morals must have been destroyed;
LJ003-0100	8.250	104	870	yet the society they were driven to live in, the language they daily heard, and the lessons they were taught in this academy,
